,klant,eigenaar,product_soort,locatie,kwaliteit,klantaanduiding,batch_nummer,batch_volg_nummer,kl_lengte,klant_breedte,klant_dikte,lm_lengte_,lm_breedte,lm_dikte,administratief_gewicht,aantal_stuks,totaal_gealloceerd,coil_nummer_leverancier,klantreferentie,attest_nummer,eerste_charge_nummer,verkoop_order_nummer,omschrijving,binnendiam_coil,buitendiam_coil,binnenbreedte_coil,buitenbreedte_coil,tekst,aanvoerdatum,laatste_transactie,werkbonnummer,bewerking,STATUS,lijst_van_bewerk,werkbonnummer2,bewerking3,STATUS4,lijst_van_bewerk5,laadlijstnummer,geolied,gebeitst,bezoomd,materiaal_status,afroep_referentie,leverdatum,afleveradres,verpakking,Gestempeld,a_nummer,gekoppeld_aan_afroep,bewerking_referentie,coilnummer_leverancier
33,Jimmy Humphrey Jr.,Robert Gilbert,COILS,MGZN,OV22,ov DD11,C6400,0.0,0.0,1665.0,"5,8",0.0,1677.0,"5,6",15920,1,,4346023,835859,779,13608488,706,914587,740.0,1455.0,1677.0,1677.0,306,2017-03-15,2017-04-12,184,DECOILEN,3,DE,62,,,,2156,0.0,0.0,0.0,X,,,"96391 Juan Hill
North Kellyburgh, PA 47169",onbekend,,95,,95,692
34,Courtney Stevens,Christina Marshall DVM,COILS,MGZN,S355M,ov >=S355,C6492,0.0,0.0,1010.0,13,0.0,1013.0,"12,7",11840,1,,4526063,8,97,38,55015117,95969,740.0,1575.0,1013.0,1013.0,4559483,2017-04-05,2017-04-06,607,,,,977870413,,,,428,0.0,0.0,0.0,,,,"50341 Bell Rest
Michaelstad, MN 60340",onbekend,,61,,73,4740140
35,Andrea Arroyo,Ashley Rivera,PLAAT,LC48,S355M,S235JR,C6493,5.0,2000.0,1000.0,13,2000.0,1003.0,"12,9","2668,84",13,,4526062,6503,7,765,85,67718,735.0,1580.0,1003.0,1003.0,41,2017-04-13,2019-12-16,9,,,,9,DECOILEN,3,DE,3787663,0.0,0.0,0.0,,,,"057 Steven Parkways
New Susanport, FM 54537",PACKA,1.0,81974,,685670,4531108
36,Caitlin Walker,John Warner,COILS,MGZN,S960M,XPF1000,C7382,0.0,0.0,1136.0,"2,94",0.0,1138.0,"2,9","15274,73",1,,875330,95068,97,867888,2,6244,610.0,1600.0,1138.0,1138.0,431435,2017-04-20,2017-09-05,3804836,DECOILEN,3,DE,9031,,,,5114,1.0,1.0,0.0,,,,"6139 Hernandez Loaf Suite 633
Johnborough, VI 48073",onbekend,,284389,,9,60907
37,Joshua Clements,Erica Deleon,PLAAT,LC34,OV22,s235jr,C7421,11.0,2500.0,1250.0,5,2500.0,1252.0,"4,97","1103,54",9,,4677082,79,2271,5281037,68,98517497,740.0,1920.0,1252.0,1252.0,12,2018-01-26,2019-12-16,913885,,,,20952867,DECOILEN,3,DE,5224255,0.0,0.0,0.0,V,,,"193 Huff Village
New Curtishaven, SD 55833",PACKA,1.0,4,,190695323,802269112
38,Thomas Hess,Kyle Gibbs,COILS,MGZN,22/37,ov DD11/S235,C7513,0.0,0.0,1109.0,5,0.0,1119.0,5,20885,1,,4696002,42,4174,8266,5794560,7495971,730.0,1905.0,1116.0,1116.0,540620,2017-05-04,2017-05-04,1656933,,,,0,,,,1,0.0,0.0,0.0,,,,"458 Tami Run Apt. 637
Jeremyfort, PR 40279",onbekend,,3122135,,60,310
39,Sierra Ward,Michelle Wall,COILS,MGZN,S355M,muster Vogel,C7539,0.0,0.0,1026.0,5,0.0,1023.0,"4,98",15280,1,,4679100,21305,5,17236565,7509,594956,740.0,1735.0,1023.0,1023.0,468,2017-05-16,2017-05-30,75276,BRANDEN,3,BR,0,BRANDEN,3,BR,593304724,0.0,0.0,0.0,V,,,"963 Amber Pine
West Dakotafort, IL 89997",onbekend,,4092210,,33,93
40,Jennifer Roy,Kyle Perry,PLAAT,LC48,S355M,S355MC,C7542,7.0,2000.0,1000.0,12,2000.0,1015.0,"12,02","1354,01",7,,4679098,2697,3,6278292,5984,678,730.0,1740.0,1015.0,1015.0,1,2017-09-11,2019-12-16,541881,,,,2974,DECOILEN,3,DE,390704,0.0,0.0,0.0,V,,,"8707 Haynes View Suite 498
West Patriciaside, NE 29577",PACKA,1.0,2968369,,8085,332
41,Bryan Dixon,Charles Solomon,PLAAT,LC38,S315M,S355MC,C8299,7.0,2500.0,1250.0,3,2500.0,1250.0,"3,07","754,63",10,,4984056,1206,851671,775,77,870,762.0,1528.0,1265.0,1265.0,7,2017-08-22,2019-04-05,2368372,,,,2687,DECOILEN,3,DE,8020,0.0,0.0,0.0,,,,"4840 Frazier Vista
Sabrinamouth, TX 62782",PACKA,1.0,81,,2305204,78199
42,John White,Scott Sanchez,PLAAT,LC48,S355M,S355MC,C8307,10.0,2000.0,1000.0,6,2000.0,1024.0,6,"1350,45",14,,5073109,99009,858,940738,8375,362266972,730.0,2029.0,1024.0,1024.0,8,2017-09-05,2020-03-03,9,,,,389568918,DECOILEN,3,DE,591,0.0,0.0,0.0,,,,"1347 Little Fall Apt. 325
New Edward, AR 18334",PACKA,1.0,290,,109473,5253417
43,Debra Young,Mark Miller,COILS,MGZN,S315M,S315MC,C8905,0.0,0.0,1215.0,"4,01",0.0,1227.0,4,"20736,15",1,,1023056,969395,3436,860,8,91358,740.0,1830.0,1227.0,1227.0,357024743,2017-07-31,2019-05-22,298010856,DECOILEN,3,DE,8992,,,,31734882,0.0,0.0,0.0,,,,"35839 Hoffman Locks Apt. 776
New Edwardchester, AL 10492",onbekend,,31686,,672595475,354060
44,Sharon Mathis,Tracy Davis,PLAAT,LC13,S460M,S460MC,C9484,1.0,3000.0,1500.0,12,3000.0,1510.0,"12,04","2569,92",6,,1501161,56134255,2,668,16030,79019133,740.0,1940.0,1510.0,1510.0,7146686,2017-12-21,2020-05-18,96211290,,,,984276967,DECOILEN,3,DE,9857870,0.0,0.0,0.0,,,,"6686 Cox Pass Apt. 066
North Stevenside, CO 65520",PACKA,1.0,4,,72573,868144893
45,Kathryn Hernandez,Amanda Thompson,PLAAT,LC14,S460M,S460MC,C9484,3.0,3000.0,1500.0,12,3000.0,1510.0,"12,04","2569,92",6,,1501161,473452995,51141170,7,95219809,784150,740.0,1940.0,1510.0,1510.0,4292602,2017-12-21,2020-05-27,63,,,,74609077,DECOILEN,3,DE,57,0.0,0.0,0.0,,,,"Unit 3440 Box 3037
DPO AA 16219",PACKA,1.0,98796050,,7947,7
46,Jennifer Edwards,Nathan Banks,PLAAT,LC15,S460M,S460MC,C9484,4.0,3000.0,1500.0,12,3000.0,1510.0,"12,04","2569,92",6,,1501161,4,52749971,93680,2669,59697,740.0,1940.0,1510.0,1510.0,3,2017-12-21,2020-04-17,8332278,,,,903412080,DECOILEN,3,DE,75075756,0.0,0.0,0.0,,,,"26481 Cynthia Coves Apt. 888
Port Ryan, MO 97898",PACKA,1.0,38585506,,47940,1
47,Danny Barker,Richard George,PLAAT,LC18,S460M,S460MC,C9484,5.0,3000.0,1500.0,12,3000.0,1510.0,"12,04","2569,92",6,,1501161,3404,3666168,48375868,9349858,6698,740.0,1940.0,1510.0,1510.0,0,2017-12-21,2019-07-31,267075764,,,,985,DECOILEN,3,DE,32988,0.0,0.0,0.0,,,,"7721 Blackburn Rue Apt. 389
North Christine, ME 37713",PACKA,1.0,812507240,,2879498,6
48,Brianna Smith,Charles Hammond,PLAAT,LC15,S460M,S460MC,C9484,6.0,3000.0,1500.0,12,3000.0,1510.0,"12,04","2569,92",6,,1501161,31,89,8323568,332731191,4557654,740.0,1940.0,1510.0,1510.0,6633,2017-12-21,2019-12-16,361811514,,,,7,DECOILEN,3,DE,267728414,0.0,0.0,0.0,,,,"31520 Moreno Coves Apt. 481
East Jesse, CO 50583",PACKA,1.0,5095095,,50453009,8926
49,Cheryl Nichols,Michael Taylor,PLAAT,LC06,S460M,S460MC,C9484,7.0,3000.0,1500.0,12,3000.0,1510.0,"12,04","2569,92",6,,1501161,71891,26508601,5339,37953198,34057992,740.0,1940.0,1510.0,1510.0,2,2017-12-21,2020-04-16,493804,,,,26,DECOILEN,3,DE,99923,0.0,0.0,0.0,,,,"097 Dixon Ferry Suite 741
Port Alexisport, OH 40635",PACKA,1.0,919633202,,82,342354
50,Daniel Garcia,Melissa Lopez,PLAAT,LC16,S460M,S460MC,C9484,8.0,3000.0,1500.0,12,3000.0,1510.0,"12,04","2569,92",6,,1501161,9733327,2156,441,76,459249593,740.0,1940.0,1510.0,1510.0,779771,2017-12-21,2019-12-16,2185211,,,,971723,DECOILEN,3,DE,546548,0.0,0.0,0.0,,,,"7970 Hodge Ford
West Lorettafurt, MO 46289",PACKA,1.0,7,,640604,8990557
51,Devon Butler,Adam Riley,PLAAT,LC16,S460M,S460MC,C9484,10.0,3000.0,1500.0,12,3000.0,1510.0,"12,04","2141,6",5,,1501161,4,9,1,9,8492607,740.0,1940.0,1510.0,1510.0,1,2017-12-21,2019-12-16,563793,,,,1693125,DECOILEN,3,DE,87981910,0.0,0.0,0.0,,,,"PSC 0687, Box 2239
APO AA 24423",PACKA,1.0,907,,0,40305243
52,Kristina Thomas,Christopher Stephens,PLAAT,LC13,S460M,S460MC,C9484,11.0,3000.0,1500.0,12,3000.0,1510.0,"12,04","2141,6",5,,1501161,33018676,4,940,8649,576869050,740.0,1940.0,1510.0,1510.0,36142,2017-12-21,2019-12-16,753,,,,2,DECOILEN,3,DE,6,0.0,0.0,0.0,,,,"670 Elizabeth Views
North Elainetown, NH 54456",PACKA,1.0,882303,,466995770,3326946
53,Leslie Osborn,Elizabeth Nichols,PLAAT,LC13,S460M,S460MC,C9484,12.0,3000.0,1500.0,12,3000.0,1510.0,"12,04","2141,64",5,,1501161,329696,8588558,52633011,2691478,75242,740.0,1940.0,1510.0,1510.0,904886,2017-12-21,2019-12-16,245701,,,,477917,DECOILEN,3,DE,220,0.0,0.0,0.0,,,,"41872 Sanford Courts
Garytown, PA 77039",PACKA,1.0,21,,4,482
54,Mrs. Julia Lambert DDS,Erica Rivera,PLAAT,LA08,S460M,S460MC,C9491,12.0,3000.0,1500.0,5,3000.0,1502.0,5,"2493,1",14,,1513511,613522,8059,56612,83178159,134764,745.0,1945.0,1502.0,1502.0,7507,2017-11-23,2020-01-21,85577,,,,247244203,DECOILEN,3,DE,52938,0.0,0.0,0.0,,,,"5798 Snyder Streets
West Dillonton, WV 35468",PACKA,1.0,9,,72,4438199
55,Patrick Williams,Jennifer Farmer,PLAAT,LA09,S460M,S460MC,C9491,13.0,3000.0,1500.0,5,3000.0,1502.0,5,"534,22",3,,1513511,27404,224800311,917,9,996767163,745.0,1945.0,1502.0,1502.0,357337,2017-11-23,2019-12-16,718685042,,,,5900367,DECOILEN,3,DE,975390,0.0,0.0,0.0,,,,"7638 Philip Ways
Stephanieside, NV 28714",PACKA,1.0,785246,,7132610,10954892
56,Tyler Patton,Charles Ruiz,COILS,MGZN,S500,S500,C9796,0.0,0.0,1369.0,"2,25",0.0,1369.0,"2,25",14665,1,0,6688143,66,66935771,9728085,60,5900608,750.0,1530.0,1374.0,1374.0,62370,2017-08-04,2019-11-27,5,,,,9,,,,78982076,0.0,0.0,0.0,,,,"079 Riggs Courts
Josestad, SC 56573",onbekend,,71480261,,85,26935967
57,Alex Cross,Sandra Boyd,COILS,MGZN,S700M,S700M,D0376,0.0,0.0,1516.0,12,0.0,1512.0,"11,92",25440,1,,1051036,33160,170065,34703,24,2826,740.0,1825.0,1512.0,1512.0,16062445,2017-08-17,2017-08-18,63622090,,,,20864,,,,6,0.0,0.0,0.0,,,,"438 Ryan Heights Suite 752
Williamside, UT 47304",onbekend,,665250,,79934,779321099
58,Ebony Smith,Richard Cox,COILS,MGZN,S700M,S700M,D0377,0.0,0.0,1512.0,15,0.0,1510.0,"14,86",25280,1,,1051038,11,626,22,733443,5,740.0,1825.0,1510.0,1510.0,371125,2017-08-17,2017-08-18,7246,,,,489676,,,,46,0.0,0.0,0.0,,,,"409 Christopher Avenue Apt. 048
Judithside, OR 46379",onbekend,,25746,,631,416428
59,Anne Peterson,Emily Foster,COILS,MGZN,S700M,S700M,D0378,0.0,0.0,1514.0,15,0.0,1510.0,"14,89",25320,1,,1051039,238695070,54,6238,33305099,3050,750.0,1840.0,1510.0,1510.0,1,2017-08-17,2017-08-18,67953,,,,6,,,,18,0.0,0.0,0.0,,,,"74362 Sanchez Spring Apt. 876
South Mary, CO 84821",onbekend,,1921,,27959,38
